InvoiceNumber,InvoiceDate,Division,ProjectType,HoursRequired,ClientFeedbackScore,InvoiceAmount,RepeatClient
176563,4/21/2018,Mobile,Web_Design,100.7,100.00,12856.62173,0
176835,7/10/2018,Portland,Market_Research,174.4,95.00,22822.31521,1
177176,6/14/2018,Portland,Market_Research,94.9,98.00,13489.30055,1
177565,5/12/2018,Portland,Customer_Survey,80.1,99.00,10122.27508,1
177958,10/5/2018,Portland,Market_Research,72.1,83.00,10640.39871,0
178262,8/28/2018,Atlanta,Social_Media_Analytics,67.6,73.00,4194.470103,1
178382,6/25/2018,Portland,Market_Research,155.8,90.00,21508.27078,0
178773,6/20/2018,Portland,Market_Research,94.3,86.00,13129.86125,0
178874,7/18/2018,Portland,Customer_Survey,88.1,87.00,12667.9991,0
179232,7/21/2018,Denver,Web_Design,58.2,93.00,5191.48868,1
179513,3/31/2018,Mobile,Web_Design,61.9,83.00,6782.0597,1
179744,6/7/2018,Mobile,Web_Design,193.9,100.00,20490.99809,1
179904,3/7/2018,Portland,Market_Research,215,92.00,31154.91026,0
180090,9/2/2018,Portland,Market_Research,100.5,92.00,15158.01436,0
180256,6/15/2018,Portland,Market_Research,126.9,89.00,18094.40837,0
180537,6/17/2018,Mobile,Web_Design,225.1,88.00,24612.38441,1
180723,8/6/2018,Portland,Market_Research,101.1,86.00,14112.23315,0
180913,2/7/2018,Denver,Web_Design,112.5,80.00,8650.870465,0
181176,7/30/2018,Mobile,Customer_Survey,80.2,73.00,11156.88276,0
181333,6/2/2018,Denver,Web_Design,180.6,80.00,15258.87326,0
181596,5/19/2018,Portland,Market_Research,173.3,100.00,23983.66452,1
181920,5/24/2018,Denver,Logo_Design,36.1,100.00,2950.292242,1
182249,5/3/2018,Atlanta,Social_Media_Analytics,80.1,68.00,6417.504493,0
182396,11/2/2018,Portland,Customer_Survey,84.9,100.00,12294.65602,0
182784,2/17/2018,Atlanta,Social_Media_Analytics,91.8,70.00,8750.409361,0
183035,10/31/2018,Denver,Web_Design,185.1,70.00,17306.0304,0
183434,7/8/2018,Mobile,Customer_Survey,56.6,86.00,5253.829175,0
183740,5/27/2018,Portland,Market_Research,194.7,96.00,24682.84844,1
183882,7/7/2018,Denver,Web_Design,143.3,87.00,13952.21534,1
184180,2/10/2018,Portland,Market_Research,150.9,82.00,19885.58425,0
184553,2/10/2018,Portland,Market_Research,136.7,90.00,19989.01926,0
184893,8/8/2018,Mobile,Social_Media_Analytics,101.8,75.00,9700.831033,0
185135,4/18/2018,Mobile,Web_Design,83.4,65.00,6911.881473,1
185407,7/5/2018,Portland,Market_Research,65.8,93.00,9500.735319,0
185631,1/7/2018,Denver,Social_Media_Analytics,75.6,69.00,7503.917665,0
185774,4/11/2018,Mobile,Web_Design,92.7,62.00,8507.888335,0
186008,1/4/2018,Mobile,Web_Design,79.6,91.00,9758.750515,0
186361,8/18/2018,Denver,Market_Research,78.8,95.00,7144.812905,1
186663,9/28/2018,Mobile,Web_Design,64,78.00,7382.780995,1
186945,12/7/2018,Portland,Social_Media_Analytics,84,96.00,12228.41019,1
187241,8/11/2018,Atlanta,Social_Media_Analytics,90.5,60.00,12625.96939,0
