"RegionID","RegionName","State","Metro","CountyName","SizeRank"
6181,"New York","NY","New York-Newark-Jersey City","Queens County",1
12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2
39051,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3
17426,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4
6915,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5
13271,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6
40326,"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7
18959,"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8
54296,"San Diego","CA","San Diego-Carlsbad","San Diego County",9
38128,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10
10221,"Austin","TX","Austin-Round Rock","Travis County",11
33839,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",12
25290,"Jacksonville","FL","Jacksonville","Duval County",13
32149,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",14
20330,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",15
24043,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",16
18172,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",17
7481,"Tucson","AZ","Tucson","Pima County",18
10920,"Columbus","OH","Columbus","Franklin County",19
12455,"Louisville","KY","Louisville/Jefferson County","Jefferson County",20
13121,"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",21
17933,"El Paso","TX","El Paso","El Paso County",22
11093,"Denver","CO","Denver-Aurora-Lakewood","Denver County",23
16037,"Seattle","WA","Seattle-Tacoma-Bellevue","King County",24
32811,"Memphis","TN","Memphis","Shelby County",25
44269,"Boston","MA","Boston-Cambridge-Newton","Suffolk County",26
41568,"Washington","DC","Washington-Arlington-Alexandria","District of Columbia",27
13373,"Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",28
6118,"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",29
20288,"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",30
3523,"Baltimore","MD","Baltimore-Columbia-Towson","Baltimore City",31
5976,"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",32
18203,"Fresno","CA","Fresno","Fresno County",33
40152,"Omaha","NE","Omaha-Council Bluffs","Douglas County",34
23429,"Albuquerque","NM","Albuquerque","Bernalillo County",35
33225,"Oklahoma City","OK","Oklahoma City","Oklahoma County",36
54047,"Raleigh","NC","Raleigh","Wake County",37
19331,"Mesa","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",38
12700,"Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",39
37211,"Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",40
18795,"Kansas City","MO","Kansas City","Jackson County",41
4172,"Colorado Springs","CO","Colorado Springs","El Paso County",42
46298,"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",43
41515,"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",44
13072,"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",45
