"date","id","totalCalls","answeredCalls","sales"
2015-01-01,152,40,6,1
2015-01-02,152,NA,NA,NA
2015-01-03,152,46,6,1
2015-01-04,152,43,16,2
2015-01-05,152,NA,NA,NA
2015-01-06,152,34,10,1
2015-01-07,152,58,15,2
2015-01-08,152,NA,NA,NA
2015-01-09,152,55,18,4
2015-01-10,152,NA,NA,NA
2015-01-11,152,NA,NA,NA
2015-01-12,152,53,12,1
2015-01-13,152,38,13,2
2015-01-14,152,NA,NA,NA
2015-01-15,152,NA,NA,NA
2015-01-16,152,NA,NA,NA
2015-01-17,152,NA,NA,NA
2015-01-18,152,NA,NA,NA
2015-01-19,152,NA,NA,NA
2015-01-20,152,NA,NA,NA
2015-01-21,152,55,19,2
2015-01-22,152,32,8,1
2015-01-23,152,NA,NA,NA
2015-01-24,152,NA,NA,NA
2015-01-25,152,NA,NA,NA
2015-01-26,152,NA,NA,NA
2015-01-27,152,45,11,1
2015-01-28,152,NA,NA,NA
2015-01-29,152,52,13,3
2015-01-30,152,62,20,2
2015-01-31,152,NA,NA,NA
2015-02-01,152,62,12,1
2015-02-02,152,37,10,1
2015-02-03,152,48,16,1
2015-02-04,152,NA,NA,NA
2015-02-05,152,NA,NA,NA
2015-02-06,152,44,13,1
2015-02-07,152,35,7,1
2015-02-08,152,42,14,0
2015-02-09,152,NA,NA,NA
2015-02-10,152,NA,NA,NA
2015-02-11,152,NA,NA,NA
2015-02-12,152,NA,NA,NA
2015-02-13,152,60,18,4
2015-02-14,152,55,11,1
2015-02-15,152,NA,NA,NA
2015-02-16,152,54,26,3
2015-02-17,152,44,9,2
2015-02-18,152,49,15,1
2015-02-19,152,NA,NA,NA
2015-02-20,152,NA,NA,NA
2015-02-21,152,NA,NA,NA
2015-02-22,152,49,13,1
2015-02-23,152,NA,NA,NA
2015-02-24,152,58,11,2
2015-02-25,152,52,23,3
2015-02-26,152,38,8,2
2015-02-27,152,NA,NA,NA
2015-02-28,152,48,15,2
2015-03-01,152,NA,NA,NA
2015-03-02,152,NA,NA,NA
2015-03-03,152,NA,NA,NA
2015-03-04,152,NA,NA,NA
2015-03-05,152,59,17,2
2015-03-06,152,57,10,0
2015-03-07,152,NA,NA,NA
2015-03-08,152,58,22,3
2015-03-09,152,44,20,4
2015-03-10,152,NA,NA,NA
2015-03-11,152,39,17,2
2015-03-12,152,NA,NA,NA
2015-03-13,152,NA,NA,NA
2015-03-14,152,NA,NA,NA
2015-03-15,152,29,9,0
2015-03-16,152,NA,NA,NA
2015-03-17,152,50,9,1
2015-03-18,152,NA,NA,NA
2015-03-19,152,35,15,3
2015-03-20,152,34,5,0
2015-03-21,152,NA,NA,NA
2015-03-22,152,50,20,3
2015-03-23,152,55,22,5
2015-03-24,152,NA,NA,NA
2015-03-25,152,60,28,7
2015-03-26,152,42,4,1
2015-03-27,152,46,14,3
2015-03-28,152,57,5,1
2015-03-29,152,NA,NA,NA
2015-03-30,152,NA,NA,NA
2015-03-31,152,NA,NA,NA
2015-04-01,152,NA,NA,NA
2015-04-02,152,NA,NA,NA
2015-04-03,152,59,20,5
2015-04-04,152,46,21,3
2015-04-05,152,NA,NA,NA
2015-04-06,152,36,4,0
2015-04-07,152,NA,NA,NA
2015-04-08,152,NA,NA,NA
2015-04-09,152,37,17,3
2015-04-10,152,54,19,3
2015-04-11,152,60,7,1
2015-04-12,152,32,6,0
2015-04-13,152,NA,NA,NA
2015-04-14,152,52,17,2
2015-04-15,152,NA,NA,NA
2015-04-16,152,64,9,1
2015-04-17,152,NA,NA,NA
