"faa","name","state","lat","lon","alt","tz","tzone"
"04G","Lansdowne Airport","Ohio",41.1304722,-80.6195833,1044,-5,"America/New_York"
"06A","Moton Field Municipal Airport","Alabama",32.4605722,-85.6800278,264,-6,"America/Chicago"
"06C","Schaumburg Regional","Illinois",41.9893408,-88.1012428,801,-6,"America/Chicago"
"06N","Randall Airport","New York",41.431912,-74.3915611,523,-5,"America/New_York"
"09J","Jekyll Island Airport","Georgia",31.0744722,-81.4277778,11,-5,"America/New_York"
"0A9","Elizabethton Municipal Airport","Tennessee",36.3712222,-82.1734167,1593,-5,"America/New_York"
"0G6","Williams County Airport","Ohio",41.4673056,-84.5067778,730,-5,"America/New_York"
"0G7","Finger Lakes Regional Airport","New York",42.8835647,-76.7812318,492,-5,"America/New_York"
"0P2","Shoestring Aviation Airfield","Pennsylvania",39.7948244,-76.6471914,1000,-5,"America/New_York"
"0S9","Jefferson County Intl",NA,48.0538086,-122.8106436,108,-8,"America/Los_Angeles"
"0W3","Harford County Airport","Maryland",39.5668378,-76.2024028,409,-5,"America/New_York"
"10C","Galt Field Airport","Illinois",42.4028889,-88.3751111,875,-6,"America/Chicago"
"17G","Port Bucyrus-Crawford County Airport","Ohio",40.7815556,-82.9748056,1003,-5,"America/New_York"
"19A","Jackson County Airport","Georgia",34.1758638,-83.5615972,951,-5,"America/New_York"
"1A3","Martin Campbell Field Airport","Tennessee",35.0158056,-84.3468333,1789,-5,"America/New_York"
"1B9","Mansfield Municipal","Massachusetts",42.0001331,-71.1967714,122,-5,"America/New_York"
"1C9","Frazier Lake Airpark",NA,54.0133333333333,-124.768333333333,152,-8,"America/Vancouver"
"1CS","Clow International Airport","Illinois",41.6959744,-88.1292306,670,-6,"America/Chicago"
"1G3","Kent State Airport","Ohio",41.1513889,-81.4151111,1134,-5,"America/New_York"
"1G4","Grand Canyon West Airport","Arizona",35.899904,-113.815674,4813,-7,"America/Phoenix"
"1H2","Effingham Memorial Airport","Illinois",39.07,-88.534,585,-6,"America/Chicago"
"1OH","Fortman Airport","Ohio",40.5553253,-84.3866186,885,-5,"America/New_York"
"1RL","Point Roberts Airpark",NA,48.9797222,-123.0788889,10,-8,"America/Los_Angeles"
"23M","Clarke CO","Alabama",32.0517,-88.4434,320,-6,"America/Chicago"
"24C","Lowell City Airport","Michigan",42.95392,-85.3439058,681,-5,"America/New_York"
"24J","Suwannee County Airport","Florida",30.300125,-83.0246944,104,-5,"America/New_York"
"25D","Forest Lake Airport","Minnesota",45.2477456,-92.9943853,925,-6,"America/Chicago"
"29D","Grove City Airport","Pennsylvania",41.1460278,-80.16775,1371,-5,"America/New_York"
"2A0","Mark Anton Airport","Tennessee",35.48625,-84.9310833,718,-5,"America/New_York"
"2B2","Plum Island Airport","Massachusetts",42.7953611,-70.8394444,11,-5,"America/New_York"
"2G2","Jefferson County Airpark","Ohio",40.3602179,-80.7008742,1196,-5,"America/New_York"
"2G9","Somerset County Airport","Pennsylvania",40.0388708,-79.0149951,2275,-5,"America/New_York"
"2H0","Shelby County Airport","Illinois",39.410556,-88.845556,550,-6,"America/Chicago"
"2J9","Quincy Municipal Airport","Florida",30.5978708,-84.557425,225,-5,"America/New_York"
"369","Atmautluak Airport","Alaska",60.866667,-162.273056,18,-9,"America/Anchorage"
"36U","Heber City Municipal Airport","Utah",40.4818056,-111.4288056,5637,-7,"America/Denver"
"38W","Lynden Airport","Washington",48.9558961,-122.4581183,106,-8,"America/Los_Angeles"
"3D2","Ephraim-Gibraltar Airport","Wisconsin",45.1354167,-87.1879444,773,-6,"America/Chicago"
"3G3","Wadsworth Municipal","Ohio",41.0031572,-81.7564401,974,-5,"America/New_York"
"3G4","Ashland County Airport","Ohio",40.9029722,-82.2556389,1206,-5,"America/New_York"
"3J1","Ridgeland Airport","South Carolina",32.4934167,-80.99175,79,-5,"America/New_York"
"3W2","Put-in-Bay Airport","Ohio",41.3521,-82.497,595,-5,"America/New_York"
"40J","Perry-Foley Airport","Florida",30.0692778,-83.5805833,44,-5,"America/New_York"
"41N","Braceville Airport","Ohio",41.2111675,-80.9692572,900,-5,"America/New_York"
"47A","Cherokee County Airport","Georgia",34.3122175,-84.4221556,1219,-5,"America/New_York"
"49A","Gilmer County Airport","Georgia",34.6282222,-84.5265833,1486,-5,"America/New_York"
"49X","Chemehuevi Valley","California",34.528889,-114.431971,638,-8,"America/Los_Angeles"
"4A4","Polk County Airport - Cornelius Moore Field","Georgia",34.0186944,-85.1464722,974,-5,"America/New_York"
"4A7","Clayton County Tara Field","Georgia",33.389099,-84.332397,874,-5,"America/New_York"
"4A9","Isbell Field Airport","Alabama",34.4736944,-85.7213889,877,-6,"America/Chicago"
"4B8","Robertson Field","Connecticut",41.6893333,-72.8646944,202,-5,"America/New_York"
"4G0","Pittsburgh-Monroeville Airport","Pennsylvania",40.4526389,-79.7749167,1187,-5,"America/New_York"
"4G2","Hamburg Inc Airport","New York",42.7008925,-78.9147569,751,-5,"America/New_York"
"4G4","Youngstown Elser Metro Airport","Ohio",40.9617953,-80.6773264,1070,-5,"America/New_York"
